title,type,release_year,runtime,imdb_score
True Grit,MOVIE,2010,110,7.6
Rambo,MOVIE,2008,92,7.0
Stardust,MOVIE,2007,122,7.6
Borgen,SHOW,2010,58,8.5
The Last Samurai,MOVIE,2003,154,7.8
iCarly,SHOW,2007,26,6.7
Victorious,SHOW,2010,25,6.9
The Book of Eli,MOVIE,2010,118,6.8
Identity,MOVIE,2003,90,7.3
Merlin,SHOW,2008,44,7.9
Shrek Forever After,MOVIE,2010,93,6.3
Hairspray,MOVIE,2007,117,6.7
Corpse Bride,MOVIE,2005,77,7.3
Let Me In,MOVIE,2010,116,7.1
Monster,MOVIE,2003,110,7.3
Without a Paddle,MOVIE,2004,95,5.8
Once Upon a Time in Mexico,MOVIE,2003,102,6.3
Cloudy with a Chance of Meatballs,MOVIE,2009,90,6.9
Offspring,SHOW,2010,44,8.3
Blade II,MOVIE,2002,117,6.7
Chloe,MOVIE,2009,99,6.3
Blood Diamond,MOVIE,2006,143,8.0
The Lake House,MOVIE,2006,105,6.8
Terminator 3: Rise of the Machines,MOVIE,2003,109,6.3
Beerfest,MOVIE,2006,110,6.2
Heist,MOVIE,2001,107,6.5
Catch and Release,MOVIE,2006,111,5.9
Just Like Heaven,MOVIE,2005,95,6.7
Gurren Lagann,SHOW,2007,24,8.3
Four Brothers,MOVIE,2005,109,6.8
John Q,MOVIE,2002,116,7.0
Not Another Teen Movie,MOVIE,2001,89,5.7
21,MOVIE,2008,123,6.8
Code Geass: Lelouch of the Rebellion,SHOW,2006,24,8.700000000000000
Terminator Salvation,MOVIE,2009,110,6.5
Deck the Halls,MOVIE,2006,93,5.0
The Girl Next Door,MOVIE,2007,91,6.5
The Cat in the Hat,MOVIE,2003,81,4.0
Final Destination 3,MOVIE,2006,93,5.8
Thir13en Ghosts,MOVIE,2001,91,5.6
The One,MOVIE,2001,87,5.9
Happy Feet,MOVIE,2006,108,6.4
Ip Man,MOVIE,2008,108,8.0
Coach Carter,MOVIE,2005,130,7.3
Blade: Trinity,MOVIE,2004,106,5.8
Monster-in-Law,MOVIE,2005,101,5.5
Halloween,MOVIE,2007,109,6.0
How Do You Know,MOVIE,2010,121,5.4
The Sweetest Thing,MOVIE,2002,84,5.1
The Final Destination,MOVIE,2009,82,5.1
The Other Boleyn Girl,MOVIE,2008,115,6.7
Friday the 13th,MOVIE,2009,97,5.5
The Bucket List,MOVIE,2007,97,7.4
Freddy vs. Jason,MOVIE,2003,97,5.7
Transformers: Prime,SHOW,2010,22,7.9
Memoirs of a Geisha,MOVIE,2005,145,7.3
A Nightmare on Elm Street,MOVIE,2010,95,5.2
Body of Lies,MOVIE,2008,128,7.1
A Cinderella Story,MOVIE,2004,95,5.9
The Mole,SHOW,2001,52,7.6
Osmosis Jones,MOVIE,2001,95,6.3
Scary Movie 4,MOVIE,2006,83,5.1
The Texas Chainsaw Massacre,MOVIE,2003,98,6.2
Fun with Dick and Jane,MOVIE,2005,90,6.1
TMNT,MOVIE,2007,87,6.2
Due Date,MOVIE,2010,95,6.5
Cop Out,MOVIE,2010,107,5.5
The 4400,SHOW,2004,44,7.3
Still Game,SHOW,2002,29,8.9
3 Idiots,MOVIE,2009,170,8.4
Midnight Diner,SHOW,2009,27,8.6
H2O: Just Add Water,SHOW,2006,25,7.2
Black Butler,SHOW,2008,25,8.3
Octonauts,SHOW,2010,15,7.6
New York Minute,MOVIE,2004,87,4.8
Strawberry Shortcake,SHOW,2003,23,7.0
Total Drama Island,SHOW,2007,23,7.4
Dreamer: Inspired By a True Story,MOVIE,2005,106,6.8
Monster House,MOVIE,2006,91,6.6
Starsky & Hutch,MOVIE,2004,101,6.1
Tears of the Sun,MOVIE,2003,121,6.6
Boys Over Flowers,SHOW,2009,64,7.9
Winx Club,SHOW,2004,23,6.2
The Cave,MOVIE,2005,97,5.1
Big Time Rush,SHOW,2009,25,6.3
The Texas Chainsaw Massacre: The Beginning,MOVIE,2006,91,5.8
I Am Sam,MOVIE,2001,132,7.6
The Spiderwick Chronicles,MOVIE,2008,96,6.5
Rumor Has It...,MOVIE,2005,97,5.5
Dead Set,SHOW,2008,141,7.6
Toradora!,SHOW,2008,30,8.0
I Now Pronounce You Chuck & Larry,MOVIE,2007,115,5.9
World Trade Center,MOVIE,2006,129,6.0
Premonition,MOVIE,2007,96,5.9
Shaun the Sheep,SHOW,2007,7,8.0
Eagle Eye,MOVIE,2008,118,6.6
Lagaan: Once Upon a Time in India,MOVIE,2001,224,8.1
The Men Who Stare at Goats,MOVIE,2009,94,6.2
Scare Tactics,SHOW,2003,22,6.7
Friends with Money,MOVIE,2006,88,5.8
Legend of the Guardians: The Owls of Ga'Hoole,MOVIE,2010,100,6.9
Kath & Kim,SHOW,2002,24,8.3
Good Luck Chuck,MOVIE,2007,101,5.6
Pocoyo,SHOW,2005,11,3.9
Louis C.K.: Hilarious,MOVIE,2010,84,8.4
Death at a Funeral,MOVIE,2010,92,5.6
Gifted Hands: The Ben Carson Story,MOVIE,2009,86,7.6
The Game,SHOW,2006,22,6.6
Angel Beats!,SHOW,2010,26,7.7
