title,type,release_year,runtime,imdb_score
Semesta,MOVIE,2018,88,7.3
Rajma Chawal,MOVIE,2018,129,5.7
SofÃ­a NiÃ±o de Rivera: Natural Selection,MOVIE,2018,61,6.9
Unbridled,MOVIE,2018,96,5.1
LEGO Elves: Secrets of Elvendale,SHOW,2017,24,6.9
The Mars Generation,MOVIE,2017,97,6.5
Deranged,MOVIE,2017,99,3.5
El Diesel,MOVIE,2018,105,4.5
Time Share,MOVIE,2018,96,5.9
The Wishing Tree,MOVIE,2017,99,5.7
Edha,SHOW,2018,40,4.9
Overnight Republic,MOVIE,2017,105,5.8
Been So Long,MOVIE,2018,100,5.4
Wrong Kind of Black,SHOW,2018,16,7.7
Gad Elmaleh: American Dream,MOVIE,2018,57,7.2
Maz Jobrani: Immigrant,MOVIE,2017,67,6.7
Love Jacked,MOVIE,2018,100,5.9
Monkey Twins,SHOW,2018,53,7.9
Kartini: Princess of Java,MOVIE,2017,118,7.6
Resurface,MOVIE,2017,27,7.1
Laerte-se,MOVIE,2017,100,7.0
Take the 10,MOVIE,2017,80,4.7
Ladies First,MOVIE,2017,39,3.9
Dismissal,MOVIE,2017,90,5.0
Sunday's Illness,MOVIE,2018,113,6.9
Baby Ballroom,SHOW,2017,45,7.8
Target,MOVIE,2018,93,3.9
Liberated: The New Sexual Revolution,MOVIE,2017,84,6.0
Age of Rebellion,SHOW,2018,83,8.6
Naam Shabana,MOVIE,2017,147,6.2
Born Racer,MOVIE,2018,88,6.1
The Girl Allergic to Wi-Fi,MOVIE,2018,104,6.3
HiGH&LOW The Movie 3: Final Mission,MOVIE,2017,118,7.7
Kevin James: Never Don't Give Up,MOVIE,2018,62,6.1
Sylvia,MOVIE,2018,130,4.7
Suzzanna: Buried Alive,MOVIE,2018,125,5.5
The Doll 2,MOVIE,2017,116,5.2
How to Get Over a Breakup,MOVIE,2018,104,6.1
All About the Washingtons,SHOW,2018,23,4.8
Cook Off,MOVIE,2017,116,6.1
Weapon of Choice,MOVIE,2018,90,4.8
All the Reasons to Forget,MOVIE,2017,90,6.2
The Lost Brother,MOVIE,2017,112,6.5
D.L. Hughley: Contrarian,MOVIE,2018,58,6.6
Part-Time Idol,SHOW,2017,40,6.7
Hometown Holiday,MOVIE,2018,84,5.0
The Single Wives,SHOW,2018,50,6.5
Can't Help Falling in Love,MOVIE,2017,119,7.2
The Honeymoon Stand Up Special,SHOW,2018,31,6.8
Blanche Gardin: I Talk to Myself,MOVIE,2017,88,7.9
Fishtronaut: The Movie,MOVIE,2018,88,7.5
Gad Gone Wild,MOVIE,2017,57,6.9
Awe!,MOVIE,2018,115,7.8
Pad Man,MOVIE,2018,140,7.9
Jack Whitehall: At Large,MOVIE,2017,67,6.9
Sparring,MOVIE,2017,95,6.4
A Boy Named Flora A,SHOW,2017,89,7.9
My Travel Buddy,MOVIE,2017,115,6.1
Tiffany Haddish: She Ready! From the Hood to Hollywood!,MOVIE,2017,65,6.6
Catching Feelings,MOVIE,2017,115,5.8
Strongest Deliveryman,SHOW,2017,55,7.4
Jen Kirkman: Just Keep Livin'?,MOVIE,2017,69,6.7
Crossroads: One Two Jaga,MOVIE,2018,80,6.6
Superlopez,MOVIE,2018,108,5.4
The Birth Reborn 2,MOVIE,2018,91,6.6
The Last Runaway,MOVIE,2018,107,5.9
Soorma,MOVIE,2018,131,7.4
Cristela Alonzo: Lower Classy,MOVIE,2017,66,6.4
The Could've-Gone-All-the-Way Committee,SHOW,2018,24,6.8
48 Christmas Wishes,MOVIE,2017,84,3.9
The Maus,MOVIE,2017,90,4.7
Bygones Be Bygones,MOVIE,2017,103,6.2
Russell Howard: Recalibrate,MOVIE,2017,69,7.4
The Girl From the Song,MOVIE,2017,102,5.6
Manu,MOVIE,2018,182,8.0
Goyo: The Boy General,MOVIE,2018,155,6.7
Lucas Brothers: On Drugs,MOVIE,2017,49,5.5
Coffee for All,MOVIE,2017,69,5.6
Loudon Wainwright III: Surviving Twin,MOVIE,2018,91,7.1
Ana e VitÃ³ria,MOVIE,2018,115,6.4
King of Boys,MOVIE,2018,169,6.1
The Many Faces of Ito,SHOW,2017,30,6.7
Silence Is Welcome,MOVIE,2017,94,4.6
Two Catalonias,MOVIE,2018,116,6.4
No One Will Ever Know,MOVIE,2018,102,6.2
Def Comedy Jam 25,MOVIE,2017,81,6.6
Bon Cop Bad Cop 2,MOVIE,2017,126,6.6
Jim Jefferies: This Is Me Now,MOVIE,2018,70,7.3
Match,MOVIE,2017,90,4.1
Mubarakan,MOVIE,2017,156,5.6
Paskal,MOVIE,2018,100,6.8
Stars in the Sky: A Hunting Story,MOVIE,2018,69,7.3
Tattoo of Revenge,MOVIE,2018,150,4.9
Pickpockets,MOVIE,2018,100,5.4
El Potro: lo mejor del amor,MOVIE,2018,122,5.2
Neevevaro,MOVIE,2018,130,6.9
A House of Blocks,SHOW,2017,84,2.3
First and Last,SHOW,2018,44,6.7
Judah Friedlander: America Is the Greatest Country in the United States,MOVIE,2017,84,7.8
#ABtalks,SHOW,2018,68,9.6
Aurora,MOVIE,2018,110,4.3
Gunshot,MOVIE,2018,96,6.8
Smaller and Smaller Circles,MOVIE,2017,111,6.6
Todd Barry: Spicy Honey,MOVIE,2017,60,6.8
Joshua: Teenager vs. Superpower,MOVIE,2017,78,7.2
The Bros,MOVIE,2017,102,6.1
5 Star Christmas,MOVIE,2018,92,4.5
The Reservoir Game,MOVIE,2017,100,6.0
Todo lo que serÃ­a Lucas Lauriente,MOVIE,2018,78,6.9
Running Man,SHOW,2017,11,8.4
Julie's Greenroom,SHOW,2017,26,8.200000000000000
DTC â€“Yukemuri Junjo Henâ€“ from HiGH&LOW,MOVIE,2018,102,6.8
Hari Kondabolu: Warn Your Relatives,MOVIE,2018,67,6.5
Alexis de Anda: Mea Culpa,MOVIE,2017,54,4.9
Freej Al Taibeen,MOVIE,2018,100,5.8
All Hail King Julien: Exiled,SHOW,2017,23,7.5
Gurgaon,MOVIE,2017,107,6.5
Ani... Dr. Kashinath Ghanekar,MOVIE,2018,159,8.5
Jim Norton: Mouthful of Shame,MOVIE,2017,61,7.0
Jonaki,MOVIE,2018,96,6.8
Rafinha Bastos: Ultimatum,MOVIE,2018,62,6.5
A StoryBots Christmas,MOVIE,2017,25,5.7
Justice: Qalb Al Adala,SHOW,2017,37,5.6
Lionheart,MOVIE,2018,95,5.7
"To Each, Her Own",MOVIE,2018,95,5.4
REA(L)OVE,SHOW,2018,45,6.6
Droppin' Cash: Los Angeles,SHOW,2018,23,3.4
Argon,SHOW,2017,63,7.3
Night of Knots,MOVIE,2018,100,5.4
Love You to the Stars and Back,MOVIE,2017,111,7.6
Marlon Wayans: Woke-ish,MOVIE,2018,68,6.5
Buddy Thunderstruck,SHOW,2017,22,7.8
Ghost Hunting,MOVIE,2017,94,7.1
Music Teacher,MOVIE,2018,101,6.2
Poster Boys,MOVIE,2017,128,5.5
Blazing Transfer Students,SHOW,2017,26,7.0
Club de Cuervos Presents: The Ballad of Hugo SÃ¡nchez,SHOW,2018,32,6.4
Munafik 2,MOVIE,2018,104,6.3
The Hows of Us,MOVIE,2018,117,6.7
Regiment Diaries,SHOW,2018,42,8.6
Marco Luque - We are together,MOVIE,2017,73,4.4
Felipe Neto: My Life Makes No Sense,MOVIE,2017,90,4.4
Aditi Mittal: Things They Wouldn't Let Me Say,MOVIE,2017,62,4.3
Blessed Benefit,MOVIE,2017,83,6.6
Robozuna,SHOW,2018,22,6.6
Malena Pichot: Estupidez compleja,MOVIE,2018,50,5.7
Chief Daddy,MOVIE,2018,98,4.7
Adhugo,MOVIE,2018,110,5.9
Solo el amor,MOVIE,2018,93,4.7
Hedefim Sensin,MOVIE,2018,105,6.2
Deliha 2,MOVIE,2018,106,4.7
Spivak,MOVIE,2018,91,5.6
For Here or to Go?,MOVIE,2017,105,6.8
DreamWorks Home: For the Holidays,MOVIE,2017,45,4.9
Check The Store Next Door,SHOW,2018,30,7.8
Late Life: The Chien-Ming Wang Story,MOVIE,2018,97,7.2
Listen,MOVIE,2017,109,6.6
Aiyaary,MOVIE,2018,157,5.2
Battlefish,SHOW,2018,45,7.0
Pulang,MOVIE,2018,120,6.7
A Little Help with Carol Burnett,SHOW,2018,34,6.3
Alter Ego,MOVIE,2017,111,5.7
Ayotzinapa: The Turtle's Pace,MOVIE,2018,80,7.4
The Price of Success,MOVIE,2017,92,5.8
"I, Potro",MOVIE,2018,50,6.2
Turkish Dance School,MOVIE,2017,111,5.7
Vanjagar Ulagam,MOVIE,2018,161,6.0
Verses of Love 2,MOVIE,2017,125,5.9
Luciano Mellera: Infantiloide,MOVIE,2018,66,7.5
My Travel Buddy 2,MOVIE,2018,116,5.8
Alan SaldaÃ±a: mi vida de pobre,MOVIE,2017,53,6.3
Vir Das: Abroad Understanding,MOVIE,2017,65,6.9
Hantu Kak Limah,MOVIE,2018,111,5.6
Back to Q82,MOVIE,2017,105,6.0
Garbage,MOVIE,2018,105,3.4
Teefa in Trouble,MOVIE,2018,155,7.3
Potato Potahto,MOVIE,2017,104,4.1
Joe Mande's Award-Winning Comedy Special,MOVIE,2017,66,6.1
The Hollywood Masters,SHOW,2017,34,7.2
The Royal Hibiscus Hotel,MOVIE,2018,90,5.5
Kulipari: Dream Walker,SHOW,2018,19,7.7
Puriyaatha Puthir,MOVIE,2017,140,6.6
ID-0,SHOW,2017,24,6.2
Ryan Hamilton: Happy Face,MOVIE,2017,56,7.3
Daniel Sosa: Sosafado,MOVIE,2017,77,5.4
Fantastica,MOVIE,2018,114,3.6
Food on the Go,MOVIE,2017,66,6.3
AgustÃ­n AristarÃ¡n: Soy Rada,MOVIE,2018,60,6.1
Grillo vs Grillo,MOVIE,2017,95,5.2
Jim Gaffigan: Cinco,MOVIE,2017,73,7.1
Free Rein: The Twelve Neighs of Christmas,MOVIE,2018,58,6.7
My Ex & Whys,MOVIE,2017,120,6.2
Pa Paandi,MOVIE,2017,125,7.4
Penalty Kick,MOVIE,2018,89,3.7
Noblemen,MOVIE,2018,108,5.6
Brad Paisley's Comedy Rodeo,MOVIE,2017,63,5.7
"Love, Surreal and Odd",MOVIE,2017,95,5.6
PacÃ­ficum,MOVIE,2017,74,6.5
Mama's Boy,MOVIE,2018,104,6.1
Seven Sundays,MOVIE,2017,128,7.7
Puppy Star Christmas,MOVIE,2018,90,3.6
Mo Amer: The Vagabond,MOVIE,2018,56,7.3
Marriage Palace,MOVIE,2018,102,6.2
Harvey Street Kids,SHOW,2018,24,6.8
Pahuna: The Little Visitors,MOVIE,2017,138,7.5
Mahi NRI,MOVIE,2017,132,5.9
Rodney King,MOVIE,2017,52,5.8
Exes Baggage,MOVIE,2018,104,6.4
Mauli,MOVIE,2018,134,5.6
Tracy Morgan: Staying Alive,MOVIE,2017,60,6.1
Voulez-vous rire avec moi ce soir?,MOVIE,2018,93,6.8
La Leyenda del Diamante,MOVIE,2018,87,3.4
Pup Star: World Tour,MOVIE,2018,87,3.8
Shubh Aarambh,MOVIE,2017,126,6.8
Chris D'Elia: Man on Fire,MOVIE,2017,65,6.5
A Man for The Weekend,MOVIE,2017,94,4.0
DeRay Davis: How to Act Black,MOVIE,2017,66,6.1
"El Especial de Alex FernÃ¡ndez, el Especial",MOVIE,2017,52,6.6
Life Plan A and B,SHOW,2017,80,7.8
Thug Life,MOVIE,2017,134,5.7
Posesif,MOVIE,2017,102,7.4
Merku Thodarchi Malai,MOVIE,2018,122,8.6
Natalia Valdebenito: El especial,MOVIE,2018,76,5.1
Jani DueÃ±as: Grandes fracasos de ayer y hoy,MOVIE,2018,77,4.8
Arango y Sanint: RÃ­ase el show,MOVIE,2018,62,4.0
Doob,MOVIE,2017,102,6.2
Adel Karam: Live from Beirut,MOVIE,2018,59,5.5
Love and Shukla,MOVIE,2017,117,7.3
Alejandro RiaÃ±o: Especial de stand up,MOVIE,2018,60,4.9
Birdshot,MOVIE,2017,116,6.6
Kavin Jay : Everybody Calm Down!,MOVIE,2018,53,5.9
Mau Nieto: viviendo sobrioâ€¦ desde el bar,MOVIE,2018,57,6.7
Coco y Raulito: Carrusel de ternura,MOVIE,2018,56,6.6
First Love,MOVIE,2018,122,6.0
Fernando Sanjiao: Hombre,MOVIE,2018,63,6.3
Highland: Thailand's Marijuana Awakening,SHOW,2017,20,6.2
Ricardo Quevedo: Hay gente asÃ­,MOVIE,2018,58,6.3
Si saben cÃ³mo me pongo Â¿Pa' quÃ© me invitan?,MOVIE,2018,89,4.6
The Lost CafÃ©,MOVIE,2018,76,6.4
ZoÃ©: Panoramas,MOVIE,2017,89,6.8
Fabrizio Copano: solo pienso en mÃ­,MOVIE,2017,59,5.0
Good Game: The Beginning,MOVIE,2018,104,4.4
Santo cachÃ³n,MOVIE,2018,87,4.8
Pinky Memsaab,MOVIE,2018,124,6.3
Heaven Without People,MOVIE,2017,91,7.6
"Edmilson Filho: Notas, Comedy about Relationships",MOVIE,2018,79,5.2
Hadithi za Kumekucha: Fatuma,MOVIE,2018,85,7.6
Echcharikkai,MOVIE,2018,134,6.3
Nathicharami,MOVIE,2018,116,7.2
Ayana,MOVIE,2017,112,7.4
Table Manners,MOVIE,2018,105,5.1
Salam - The First ****** Nobel Laureate,MOVIE,2018,75,7.8
Todd Glass: Act Happy,MOVIE,2018,62,5.1
Lilli,MOVIE,2018,91,5.7
Eve's Apple,MOVIE,2017,90,5.9
Enissa Amani: Ehrenwort,MOVIE,2018,65,5.5
Kingdom of Us,MOVIE,2017,109,7.0
Aruna & Her Palate,MOVIE,2018,106,7.2
Into the Wind,MOVIE,2018,76,4.2
Baby Mamas,MOVIE,2018,93,6.6
The Break with Michelle Wolf,SHOW,2018,30,5.1
Lynne Koplitz: Hormonal Beast,MOVIE,2017,51,6.2
Jindua,MOVIE,2017,140,6.5
Yoo Byung Jae: Too Much Information,MOVIE,2018,63,5.3
Ask the Doctor,SHOW,2017,28,6.5
Sei,MOVIE,2018,128,4.2
Christmas Catch,MOVIE,2018,80,5.3
Project Papa,MOVIE,2018,97,6.3
Kibaoh Klashers,SHOW,2017,24,6.3
#FriendButMarried,MOVIE,2018,102,6.9
Mr. Chandramouli,MOVIE,2018,122,5.1
SebastiÃ¡n Marcelo Wainraich,MOVIE,2018,49,6.4
Dhh,MOVIE,2018,128,7.9
Three Words to Forever,MOVIE,2018,106,6.8
In Line,MOVIE,2017,115,6.1
Unexpectedly Yours,MOVIE,2017,120,6.8
Next Enti?,MOVIE,2018,157,4.6
The Sound of Your Heart: Reboot,SHOW,2018,34,5.9
Luo Bao Bei,SHOW,2018,11,8.0
Harith Iskander: I Told You So,MOVIE,2018,61,4.6
Memories of Love,SHOW,2018,44,5.9
Wedy Atkalam,MOVIE,2018,72,5.8
Kanavu Variyam,MOVIE,2017,118,6.4
We Speak Dance,SHOW,2018,22,7.5
Simplemente Manu NNa,MOVIE,2017,71,5.5
For the Broken Hearted,MOVIE,2018,92,6.7
King of Peking,MOVIE,2017,88,6.4
BabamÄ±n Ceketi,MOVIE,2018,100,4.9
Until Midnight,MOVIE,2018,78,6.9
Fakkah Fuzz: Almost Banned,MOVIE,2018,60,4.3
Vir Das: Losing It,MOVIE,2018,67,7.0
What Did I Mess,MOVIE,2018,100,7.1
YG Future Strategy Office,SHOW,2018,27,6.9
Dilan 1990,MOVIE,2018,109,7.0
Ascharya Fuck It,MOVIE,2018,90,5.4
Fary Is the New Black,MOVIE,2018,74,5.8
Brij Mohan Amar Rahe!,MOVIE,2018,100,7.0
W. Kamau Bell: Private School Negro,MOVIE,2018,65,6.4
Pandigai,MOVIE,2017,150,6.3
The Bridge,MOVIE,2017,115,5.6
Hajwala 2: Mysterious Mission,MOVIE,2018,115,4.0
Satria Heroes: Revenge of the Darkness,MOVIE,2017,92,4.4
Fan of Amoory,MOVIE,2018,91,5.9
Bogda,MOVIE,2018,160,7.2
Rise: Ini Kalilah,MOVIE,2018,102,5.1
What She Put on the Table,SHOW,2017,85,7.3
Meghnadbodh Rohoshyo,MOVIE,2017,122,6.3
The Suit,MOVIE,2018,96,5.4
Afronta!,SHOW,2017,0,7.4
Learning Songs by Little Baby Bum: Nursery Rhyme Friends,SHOW,2017,30,4.2
Finally Found Someone,MOVIE,2017,118,5.7
Super Monsters Save Halloween,MOVIE,2018,24,5.4
Elf Pets: Santa's St. Bernards Save Christmas,MOVIE,2018,26,5.3
Catch.er,MOVIE,2017,81,4.5
Panoptic,MOVIE,2017,79,6.2
Komola Rocket,MOVIE,2018,95,7.4
Lara and the Beat,MOVIE,2018,137,6.7
Luna Petunia Return to Amazia,SHOW,2018,24,4.8
Si Doel the Movie,MOVIE,2018,85,6.9
Bahasha,MOVIE,2018,85,7.0
Russian Doll,SHOW,2019,28,7.8
The Gentlemen,MOVIE,2019,113,7.8
Bridgerton,SHOW,2020,62,7.3
Demon Slayer: Kimetsu no Yaiba,SHOW,2019,25,8.700000000000000
Sex Education,SHOW,2019,52,8.3
After Life,SHOW,2019,28,8.5
"Love, Death & Robots",SHOW,2019,13,8.4
The Umbrella Academy,SHOW,2019,52,8.0
The Witcher,SHOW,2019,58,8.200000000000000
The Rental,MOVIE,2020,88,5.7
Uncut Gems,MOVIE,2019,130,7.4
Space Force,SHOW,2020,30,6.7
Formula 1: Drive to Survive,SHOW,2019,38,8.6
365 Days,MOVIE,2020,114,3.3
The Queen's Gambit,SHOW,2020,56,8.6
Selling Sunset,SHOW,2019,35,6.5
Dead to Me,SHOW,2019,31,8.0
I Think You Should Leave with Tim Robinson,SHOW,2019,16,7.9
The Last Dance,SHOW,2020,50,9.1
The Stranger,SHOW,2020,45,7.3
Emily in Paris,SHOW,2020,29,6.9
Unbelievable,SHOW,2019,48,8.4
ULTRAMAN,SHOW,2019,24,6.8
Jurassic World: Camp Cretaceous,SHOW,2020,24,7.5
Virgin River,SHOW,2019,44,7.4
Outer Banks,SHOW,2020,49,7.5
Locke & Key,SHOW,2020,48,7.4
Rambo: Last Blood,MOVIE,2019,101,6.1
The Circle,SHOW,2020,52,7.3
Freaks,MOVIE,2019,105,6.7
The King,MOVIE,2019,140,7.3
Are You Afraid of the Dark?,SHOW,2019,44,7.1
I'm Thinking of Ending Things,MOVIE,2020,134,6.6
In the Dark,SHOW,2019,41,7.7
Young Wallander,SHOW,2020,45,6.8
The Devil All the Time,MOVIE,2020,138,7.1
Tuca & Bertie,SHOW,2019,24,7.3
My Octopus Teacher,MOVIE,2020,84,8.1
The Irishman,MOVIE,2019,209,7.8
Synchronic,MOVIE,2019,102,6.2
Hillbilly Elegy,MOVIE,2020,116,6.7
Feel Good,SHOW,2020,25,7.5
21 Bridges,MOVIE,2019,99,6.6
Love Is Blind,SHOW,2020,54,6.1
Marriage Story,MOVIE,2019,136,7.9
The Trial of the Chicago 7,MOVIE,2020,130,7.7
Into the Night,SHOW,2020,36,7.1
Criminal: UK,SHOW,2019,44,7.6
Never Have I Ever,SHOW,2020,28,7.8
The Daily Life of the Immortal King,SHOW,2020,19,7.2
El Camino: A Breaking Bad Movie,MOVIE,2019,123,7.3
Eurovision Song Contest: The Story of Fire Saga,MOVIE,2020,123,6.5
The Cursed,SHOW,2020,62,7.1
Get Organized with The Home Edit,SHOW,2020,42,5.3
The Call,MOVIE,2020,112,7.1
Sweet Magnolias,SHOW,2020,50,7.3
In the Shadow of the Moon,MOVIE,2019,115,6.2
Alice in Borderland,SHOW,2020,47,7.6
Raising Dion,SHOW,2019,43,7.1
Summerland,MOVIE,2020,100,7.0
Kingdom,SHOW,2019,48,8.3
The Social Dilemma,MOVIE,2020,94,7.6
Black Summer,SHOW,2019,39,6.5
Fantastic Fungi,MOVIE,2019,81,7.4
The Promised Neverland,SHOW,2019,23,8.4
Dracula,SHOW,2020,88,6.8
Mank,MOVIE,2020,131,6.8
6 Underground,MOVIE,2019,127,6.1
I Care a Lot,MOVIE,2020,118,6.3
His House,MOVIE,2020,93,6.5
The Dark Crystal: Age of Resistance,SHOW,2019,51,8.4
When They See Us,SHOW,2019,74,8.9
Cocomelon,SHOW,2019,8,4.9
Another Life,SHOW,2019,42,5.2
Living with Yourself,SHOW,2019,26,7.2
The Platform,MOVIE,2019,94,7.0
The Movies That Made Us,SHOW,2019,47,7.6
Giri/Haji,SHOW,2019,58,7.8
Don't F**k with Cats: Hunting an Internet Killer,SHOW,2019,62,8.0
The Forgotten Battle,MOVIE,2020,124,7.1
Always Be My Maybe,MOVIE,2019,101,6.8
Enola Holmes,MOVIE,2020,123,6.6
Scary Stories to Tell in the Dark,MOVIE,2019,108,6.2
The Valhalla Murders,SHOW,2019,46,7.1
Triple Frontier,MOVIE,2019,125,6.4
Fast Color,MOVIE,2019,102,6.0
The Midnight Sky,MOVIE,2020,118,5.6
Official Secrets,MOVIE,2019,112,7.3
Barbarians,SHOW,2020,47,7.2
I Am Mother,MOVIE,2019,113,6.7
Marianne,SHOW,2019,49,7.4
The Haunting of Bly Manor,SHOW,2020,55,7.3
"Roswell, New Mexico",SHOW,2019,42,6.2
The Old Guard,MOVIE,2020,125,6.6
Hollywood,SHOW,2020,50,7.5
The Outpost,MOVIE,2020,123,6.8
Cursed,SHOW,2020,55,5.8
Extraction,MOVIE,2020,116,6.7
To the Lake,SHOW,2019,43,7.2
PokÃ©mon Journeys: The Series,SHOW,2020,22,6.9
The Defeated,SHOW,2020,54,7.0
Occupation: Rainfall,MOVIE,2020,128,5.6
Conversations with a Killer: The Ted Bundy Tapes,SHOW,2019,59,7.8
"Extremely Wicked, Shockingly Evil and Vile",MOVIE,2019,111,6.7
I Am Not Okay with This,SHOW,2020,21,7.5
Tiger King,SHOW,2020,44,7.5
#Alive,MOVIE,2020,98,6.3
Unorthodox,SHOW,2020,54,8.0
The Old Ways,MOVIE,2020,90,5.4
The Half of It,MOVIE,2020,104,6.9
After,MOVIE,2019,106,5.2
Dolemite Is My Name,MOVIE,2019,118,7.2
Warrior Nun,SHOW,2020,43,6.8
Ragnarok,SHOW,2020,47,7.5
The Order,SHOW,2019,48,6.7
The Professor and the Madman,MOVIE,2019,124,7.2
The Paper Tigers,MOVIE,2020,108,6.3
Pieces of a Woman,MOVIE,2020,127,7.0
Love on the Spectrum,SHOW,2019,42,8.6
Code 8,MOVIE,2019,99,6.1
Jiu Jitsu,MOVIE,2020,102,2.9
Bad Trip,MOVIE,2020,87,6.5
Away,SHOW,2020,50,6.6
The Wind,MOVIE,2019,86,5.5
The Pharmacist,SHOW,2020,54,7.7
Five Feet Apart,MOVIE,2019,116,7.2
Ghost in the Shell: SAC_2045,SHOW,2020,25,6.2
Murder Mystery,MOVIE,2019,97,6.0
The Water Man,MOVIE,2020,92,5.4
Rebecca,MOVIE,2020,121,6.0
The Politician,SHOW,2019,43,7.5
The Society,SHOW,2019,56,7.0
The Untamed,SHOW,2019,44,8.8
Fyre,MOVIE,2019,98,7.2
Fractured,MOVIE,2019,99,6.4
Da 5 Bloods,MOVIE,2020,156,6.5
Our Planet,SHOW,2019,50,9.3
The Family,SHOW,2019,26,6.4
The Spy,SHOW,2019,53,7.9
Daybreak,SHOW,2019,44,6.7
The Highwaymen,MOVIE,2019,132,6.9
The Disciple,MOVIE,2020,128,7.1
Kiss the Ground,MOVIE,2020,84,8.200000000000000
The Dirt,MOVIE,2019,108,6.9
Ava,MOVIE,2020,96,5.4
The Comey Rule,SHOW,2020,82,7.4
Merli: Dare to Know,SHOW,2019,48,7.6
Too Hot to Handle,SHOW,2020,42,4.6
The Night Clerk,MOVIE,2020,90,5.5
Ma Rainey's Black Bottom,MOVIE,2020,94,6.9
Ratched,SHOW,2020,54,7.2
Polar,MOVIE,2019,118,6.3
DC Super Hero Girls,SHOW,2019,10,7.2
"Yes, God, Yes",MOVIE,2020,78,6.1
The Prom,MOVIE,2020,130,5.9
Dark Desire,SHOW,2020,34,6.5
Unsolved Mysteries,SHOW,2020,49,7.3
We Summon the Darkness,MOVIE,2020,91,5.2
Someone Great,MOVIE,2019,92,6.2
Tread,MOVIE,2020,88,7.1
Radium Girls,MOVIE,2020,102,6.2
Sweetheart,MOVIE,2019,82,5.8
WHAT / IF,SHOW,2019,59,6.3
The Wrong Missy,MOVIE,2020,90,5.7
David Attenborough: A Life on Our Planet,MOVIE,2020,83,9.0
Skylines,MOVIE,2020,113,4.7
The Laundromat,MOVIE,2019,96,6.3
It's Okay to Not Be Okay,SHOW,2020,76,8.6
Trinkets,SHOW,2019,26,7.0
Over the Moon,MOVIE,2020,95,6.3
The Two Popes,MOVIE,2019,125,7.6
Messiah,SHOW,2020,45,7.6
BEASTARS,SHOW,2019,23,7.7
Dorohedoro,SHOW,2020,24,8.1
Undercover,SHOW,2019,49,7.8
IO,MOVIE,2019,96,4.7
All the Bright Places,MOVIE,2020,108,6.5
Velvet Buzzsaw,MOVIE,2019,112,5.7
Bonding,SHOW,2019,17,7.1
Cheer,SHOW,2020,56,8.1
The Occupant,MOVIE,2020,103,6.4
Can You Keep a Secret?,MOVIE,2019,94,5.3
Wu Assassins,SHOW,2019,44,6.4
Greatest Events of WWII in Colour,SHOW,2019,50,8.700000000000000
PokÃ©mon the Movie: Secrets of the Jungle,MOVIE,2020,99,6.4
Lego Jurassic World: Legend of Isla Nublar,SHOW,2019,22,6.7
The Red Sea Diving Resort,MOVIE,2019,129,6.6
Green Eggs and Ham,SHOW,2019,28,8.1
Crip Camp: A Disability Revolution,MOVIE,2020,108,7.7
American Factory,MOVIE,2019,110,7.4
Stateless,SHOW,2020,53,7.5
The Wandering Earth,MOVIE,2019,126,5.9
Caliphate,SHOW,2020,48,8.200000000000000
Down to Earth with Zac Efron,SHOW,2020,39,8.0
Wine Country,MOVIE,2019,103,5.4
Between Two Ferns: The Movie,MOVIE,2019,82,6.1
Avengement,MOVIE,2019,90,6.5
Jeffrey Epstein: Filthy Rich,SHOW,2020,57,7.1
The Wolf's Call,MOVIE,2019,115,6.9
The Silence,MOVIE,2019,91,5.3
Summertime,SHOW,2020,43,6.0
L.A.'s Finest,SHOW,2019,47,6.1
Holiday Secrets,SHOW,2019,38,6.5
Almost Happy,SHOW,2020,27,6.8
Interior Design Masters,SHOW,2019,57,6.4
A Shaun the Sheep Movie: Farmageddon,MOVIE,2019,87,6.8
Dash & Lily,SHOW,2020,25,7.5
Dare Me,SHOW,2019,43,6.6
Atlantics,MOVIE,2019,106,6.7
Last Breath,MOVIE,2019,85,7.7
The Gift,SHOW,2019,45,7.0
The Boy Who Harnessed the Wind,MOVIE,2019,113,7.6
We Have Always Lived in the Castle,MOVIE,2019,90,5.6
Spenser Confidential,MOVIE,2020,111,6.2
Doom: Annihilation,MOVIE,2019,97,3.7
October Faction,SHOW,2020,41,6.1
Deaf U,SHOW,2020,20,6.4
Blown Away,SHOW,2019,25,7.1
Girl on the Third Floor,MOVIE,2019,93,4.7
Medical Police,SHOW,2020,24,5.9
The Great Hack,MOVIE,2019,114,7.1
Rocks,MOVIE,2019,93,7.4
Selena: The Series,SHOW,2020,38,6.9
White Lines,SHOW,2020,55,6.6
Ip Man 4: The Finale,MOVIE,2019,107,7.0
Ophelia,MOVIE,2019,106,6.6
After We Collided,MOVIE,2020,105,5.0
The Devil Next Door,SHOW,2019,46,7.6
Start-Up,SHOW,2020,80,8.1
The Last Blockbuster,MOVIE,2020,86,6.7
In the Tall Grass,MOVIE,2019,102,5.4
Toy Boy,SHOW,2019,61,6.5
Paradise Hills,MOVIE,2019,95,5.3
Dick Johnson Is Dead,MOVIE,2020,89,7.4
American Murder: The Family Next Door,MOVIE,2020,83,7.2
Rust Creek,MOVIE,2019,108,5.9
Middleditch & Schwartz,SHOW,2020,51,8.6
The Twelve,SHOW,2019,47,7.5
Eli,MOVIE,2019,98,5.8
I Lost My Body,MOVIE,2019,81,7.5
The Ripper,SHOW,2020,49,7.1
Teenage Bounty Hunters,SHOW,2020,49,7.6
